id,y
610,55.875
9109,69.1
7035,104.025
7597,33.435
2783,1368.5
3294,623.85
8498,64.525
7056,16.64
10440,106.475
6887,248.6
124,92.275
8066,33.59
3538,481.0
3498,182.9
1928,110.7
2678,92.125
495,554.2
4881,628.7
2506,85.525
1098,92.35
9361,47.25
7020,81.225
3017,184.8
3698,57.075
1194,55.225
4348,111.0
6113,82.325
4629,50.175
1145,445.8
8882,303.8
10325,84.05
8792,35.43
2087,34.475
5639,101.725
1278,118.85
1599,812.1
3680,382.7
8793,160.3
7286,98.325
2712,94.625
8570,1581.0
9447,265.1
4653,20.99
5656,60.3
5692,70.525
9278,980.0
579,161.3
5055,376.2
5292,482.1
7042,745.5
7066,769.0
4297,1629.5
4872,290.4
2669,31.685
2861,13.0
6989,767.0
9403,41.245
2676,90.65
272,158.5
7404,42.2
8289,75.275
5957,10.53
8575,7.35
5373,108.55
1158,80.25
8788,8.625
4707,42.325
530,15.77
9540,155.0
4045,64.775
2427,9.285
8433,327.4
5231,574.4
7491,300.9
7856,52.15
3213,79.75
2081,42.09
4665,160.075
4075,51.175
1743,156.9
3100,14.79
8321,711.5
4445,49.425
1856,35.205
8612,1200.0
3326,45.24
4139,98.875
9221,38.175
8405,170.65
6646,21.79
10387,41.6
2760,67.735
8478,48.7
5139,37.25
9287,868.0
3626,889.7
6225,15.05
982,216.9
7864,94.925
159,17.77
9065,16.99
4749,84.725
4624,553.9
3919,663.4
7370,640.3
7504,198.5
5452,123.925
176,52.03
9164,337.5
2643,30.24
9940,2125.5
1096,114.7
3991,1269.5
7685,48.685
6330,80.775
9573,300.4
3784,16.2
8666,24.81
6997,94.05
5875,70.6
9451,45.76
2470,30.97
3222,63.2
8180,14.85
10178,31.295
5867,14.71
7015,67.65
253,14.78
1748,398.2
487,265.9
6705,36.465
6408,80.7
7064,126.975
9751,37.07
3343,294.6
6442,56.0
2746,64.35
10018,33.055
1738,55.325
8872,38.3
1785,24.72
8965,6.0
4552,928.3
5601,139.875
3170,207.9
1978,41.305
8298,70.525
2888,48.45
8073,24.895
2898,112.75
6503,1369.5
10421,212.3
7741,44.21
9612,65.225
9633,47.75
133,53.75
7192,45.07
1283,18.18
2153,43.9
8194,70.125
6249,191.5
9273,23.11
3889,108.65
2174,14.97
10112,164.675
994,28.155
39,23.26
1218,26.865
5682,25.435
3629,145.6
6199,998.0
220,28.73
8287,502.6
5753,1088.0
8119,92.65
1418,62.45
5643,24.45
2817,53.3
1082,116.875
7352,874.5
4674,49.925
6631,8.87
9599,268.6
8601,111.525
8611,42.65
1087,14.01
1726,300.0
1887,7.05
1118,82.925
3284,66.475
8562,13.475
3598,27.28
3472,704.0
1845,62.825
2164,48.43
5720,1154.0
1835,1884.5
1352,473.8
10162,497.8
7150,97.65
8936,307.9
2921,68.025
10238,63.325
2983,614.4
4595,21.005
